City,Count
"Old Hickory, SC",6
"Delmont, PA",6
"Warsaw, NY",6
"Waller, TX",6
"Sorrento, FL",6
"Perkinston, MS",6
"North Hampton, NH",6
"rock hill, SC",6
"Franklinville, NJ",6
"Modena, NY",6
"upland, CA",6
"Oronoco, MN",6
"Briarwood, NY",6
"Coopersville, MI",6
"brooklyn, NH",6
"casper, WY",6
"BEND, OR",6
"Alameda, AZ",6
"Black Mountain, NM",6
"Athens, FL",6
"Glen Arm, MD",6
"Ward, AR",6
"Shelby Twp., MI",6
"Harrisville, UT",6
"Cadiz, KY",6
"Springfield, ME",6
"Ferndale, ME",6
"Clancy, MT",6
"Nitro, WV",6
"Algonac, MI",6
"Kildeer, IL",6
"Novato, AZ",6
"White Bluff, TN",6
"Arroyo Hondo, NM",6
"Weedsport, NY",6
"Fremont, NH",6
"Nevada, TX",6
"Hooper, UT",6
"Canton, NV",6
"Tonganoxie, KS",6
"Rumney, NH",6
"Riverwoods, IL",6
"Centralia, IL",6
"Gallipolis, OH",6
"saint paul, MN",6
"Grand junction, CO",6
"Nags Head, NC",6
"Flushing, NJ",6
"Gold Beach, OR",6
"FARGO, ND",6
"Salt Lake City, TX",6
"Winnsboro, TX",6
"Newfields, NH",6
"Silt, CO",6
"Amenia, NY",6
"West Chazy, NY",6
"Timberlake, NC",6
"Buxton, ME",6
"Walton, KY",6
"Springville, TN",6
"North Branford, CT",6
"Avilla, IN",6
"nashville, SC",6
"Ellicott City, MA",6
"Montgomery, PA",6
"Hope Valley, RI",6
"port orchard, WA",6
"lorton, VA",6
"Northfield, VT",6
"Price, UT",6
"Huntington, NJ",6
"Orrington, ME",6
"bentonville, AR",6
"Monett, MO",6
"New orleans, LA",6
"Dover, FL",6
"East Lansing, ME",6
"willits, CA",6
"Kingsport, SC",6
"Greenwich, NJ",6
"Pampa, TX",6
"The Sea Ranch, CA",6
"COLUMBIA, SC",6
"Keithville, LA",6
"Orford, NH",6
"Albion, NY",6
"lemoore, CA",6
"Dowagiac, MI",6
"La Fayette, NY",6
"Sterling, CO",6
"Rex, GA",6
"Mountain View, MO",6
"Atco, NJ",6
"Galesburg, MI",6
"West Lawn, PA",6
"Pikeville, NC",6
"Wilmot, NH",6
"Jefferson, MA",6
"moline, IL",6
"carmichael, CA",6
"Manhattan, IN",6
"San Antonio, FL",6
"FORT LAUDERDALE, FL",6
"Truth or Consequences, NM",6
"LOS ANGELES, AZ",6
"north las vegas, NV",6
"Smithville, TN",6
"Northfield, NJ",6
"Sandy Spring, MD",6
"Quarryville, PA",6
"Toronto, NY",6
"Bridgeport, NJ",6
"Warren, AR",6
"kaneohe, HI",6
"Lower Lake, CA",6
"Pequannock, NJ",6
"hickory, NC",6
"Bethlehem, OK",6
"Cape May, NJ",6
"Cedar Park, SD",6
"Kennebunkport, ME",6
"Scottsbluff, NE",6
"Suncook, NH",6
"waldorf, MD",6
"Drain, OR",6
"Waterbury Center, VT",6
"Iron Mountain, MI",6
"Leesburg, TX",6
"Rogersville, TN",6
"Swisher, IA",6
"Selma, NC",6
"Grangeville, ID",6
"Riverside, IA",6
"Urbana, IA",6
"Draper, TN",6
"Kersey, PA",6
"Sullivan, IN",6
"Fond du lac, WI",6
"Sarver, PA",6
"Stevens, PA",6
"Ridgeway, VA",6
"Brigantine, NJ",6
"peoria, IL",6
"Collegedale, TN",6
"Eureka, AZ",6
"Buckfield, ME",6
"Topsfield, MA",6
"Bridgewater, VA",6
"Taneytown, MD",6
"hudson, OH",6
"Bellaire, MI",6
"Angola, NY",6
"Center Line, MI",6
"Jermyn, PA",6
"Geyserville, CA",6
"Vonore, TN",6
"ridgewood, NY",6
"pflugerville, TX",6
"Mount Pleasant, NC",6
"Sweetwater, TN",6
"Fairfax, AZ",6
"Indian Harbour Beach, FL",6
"Lawrenceville, FL",6
"Attica, MI",6
"Fort Stewart, GA",6
"Oregon City, OK",6
"saratoga, CA",6
"Dewitt, MI",6
"Charlo, MT",6
"Crescent Springs, KY",6
"Pecos, NM",6
"Waterford, CA",6
"Swanzey, NH",6
"Catawba, NC",6
"Desoto, TX",6
"Moreland Hills, OH",6
"Monterey, VA",6
"hemet, CA",6
"Calgary, CA",6
"Essexville, MI",6
"annapolis, MD",6
"Vernon, NJ",6
"Perry, OK",6
"Perry, OH",6
"herndon, VA",6
"Tomah, WI",6
"Lanoka Harbor, NJ",6
"nevada city, CA",6
"Groveland, MA",6
"Rochester hills, MI",6
"Sidney, NY",6
"Stockton, AZ",6
"Bayfield, WI",6
"Lima, NV",6
"Honesdale, PA",6
"Smithfield, VA",6
"titusville, FL",6
"Swanton, MD",6
"Bloomsbury, NJ",6
"South St. Paul, MN",6
"Moultrie, GA",6
"HOLLYWOOD, FL",6
"Coatesville, IN",6
"Crestwood, MO",6
"cliffside park, NJ",6
"Fort Stockton, TX",6
"S. Burlington, VT",6
"SANTA ROSA, CA",6
"Brentwood, MD",6
"Chapel hill, NC",6
"Pescadero, CA",6
"Dunbar, WV",6
"rome, NY",6
"Carrollton, KY",6
"Keswick, VA",6
"Saint Johnsbury, VT",6
"Norway, MI",6
"Novelty, OH",6
"COLUMBIA, MO",6
"Hockley, TX",6
"Bonne Terre, MO",6
"Corning, NH",6
"Creston, CA",6
"Parma Hts, OH",6
"Cinnaminson, NJ",6
"sebring, FL",6
"Bethel, VT",6
"Madison, VT",6
"Ft. Pierce, FL",6
"buena park, CA",6
"parkersburg, WV",6
"Tallapoosa, GA",6
"Camarillo, AZ",6
"Piedmont, AL",6
"Grove, OK",6
"albany, OR",6
"Emerald Hills, CA",6
"Campbell, AZ",6
"north hills, CA",6
"Stockbridge, MA",6
"Goochland, VA",6
"Hilliard, NV",6
"Moreno Valley, AZ",6
"Greenville, NH",6
"Audubon, PA",6
"NAPLES, FL",6
"Greenport, NY",6
"Dodge city, KS",6
"Arkansas City, KS",6
"Kodak, TN",6
"Star, ID",6
"Grasonville, MD",6
"Elon, NC",6
"poughkeepsie, NY",6
"Newfane, VT",6
"Brazoria, TX",6
"Remsen, NY",6
"BLOOMINGTON, IN",6
"stafford, VA",6
"college park, MD",6
"miami, DE",6
"Florida, NY",6
"Webster, NH",6
"antioch, TN",6
"Hemlock, MI",6
"Carlinville, IL",6
"lutz, FL",6
"Sunset, LA",6
"Selma, TX",6
"Middlesex, NJ",6
"Grafton, OH",6
"santee, CA",6
"cathedral city, CA",6
"Ocean Park, WA",6
"Whittier, AZ",6
"Warren, OR",6
"rochester, NH",6
"Gilford, NH",6
"soquel, CA",6
"west hills, CA",6
"New Richmond, OH",6
"Augusta, KS",6
"Salem, IN",6
"Hinckley, OH",6
"saint petersburg, FL",6
"Brooklyn, WI",6
"Costa Mesa, AZ",6
"Logan, OH",6
"Pinebluff, NC",6
"West Frankfort, IL",6
"Lisbon Falls, ME",6
"st. paul, MN",6
"Seward, AK",6
"El Macero, CA",6
"Chisago City, MN",6
"Wolfeboro, NH",6
"Williams, OR",6
"Ashland, MO",6
"Walkertown, NC",6
"buford, GA",6
"Deer Park, IL",6
"Nanticoke, PA",6
"Anytown, CA",6
"Wellsville, OH",6
"USAF Academy, CO",6
"Wells, VT",6
"Lake Station, IN",6
"HOBOKEN, NJ",6
"York, OK",6
"La Conner, WA",6
"Monroe, OR",6
"Gates Mills, OH",6
"eagan, MN",6
"Tonasket, WA",6
"Cottonwood, AR",6
"Houlton, ME",6
"RENTON, WA",6
"Maple Glen, PA",6
"Waverly, OH",6
"citrus heights, CA",6
"Saint James, MO",6
"Yardville, NJ",6
"Sagle, ID",6
"West Yarmouth, MA",6
"old hickory, TN",6
"Unicoi, TN",6
"Fort Irwin, CA",6
"Bolton, MA",6
"Greenfield, VI",6
"marietta, OH",6
"Marfa, TX",6
"Yuma, AR",6
"Wellington, OH",6
"Satsuma, AL",6
"Haubstadt, IN",6
"gig harbor, WA",6
"Furlong, PA",6
"Bolton, VT",6
"Jackson, OH",6
"Glen Ellyn, ID",6
"Emerson, NJ",6
"fort lauderdale, FL",6
"Saginaw, TX",6
"Valatie, NY",6
"deltona, FL",6
"Edina, ME",6
"New Market, AL",6
"West Allis, VI",6
"Louisburg, KS",6
"Sugarland, TX",6
"West Sand Lake, NY",6
"Alcoa, TN",6
"pompton lakes, NJ",6
"Frankford, DE",6
"Saint Francis, WI",6
"South Beach, OR",6
"statesville, NC",6
"roseburg, OR",6
"portage, MI",6
"Kingsley, MI",6
"Charleston, VT",6
"Ogallala, NE",6
"allen park, MI",6
"san pedro, CA",6
"Tuttle, OK",6
"Schoolcraft, MI",6
"Campbellsport, WI",6
"Hopedale, MA",6
"St. Louis Park, MI",6
"Chico, AZ",6
"Floyd, TX",6
"Lecanto, FL",6
"Carle Place, NY",6
"san bernardino, CA",6
"Murray, TN",6
"Idaho Springs, CO",6
"Hubbardston, MA",6
"Gobles, MI",6
"elkins park, PA",6
"edina, MN",6
"Winston-Salem, NM",6
"Brookhaven, NY",6
"Pearland, SD",6
"kansas city, KS",6
"RIVERSIDE, CA",6
"Cliffside, NC",6
"Cambridge, NY",6
"Crittenden, KY",6
"Slc, UT",6
"Northvale, NJ",6
"toms river, NJ",6
"Russellville, KY",6
"Anderson, ID",6
"DAYTON, OH",6
"Montevideo, MN",6
"Douglas, GA",6
"Olivebridge, NY",6
"wheaton, IL",6
"Baldwin City, KS",6
"Boscobel, WI",6
"Midway, KY",6
"Huffman, TX",6
"Cabot, VT",6
"Springtown, TX",6
"odessa, TX",6
"Pine Lake, GA",6
"Westbrook, CT",6
"Plainfield, VT",6
"South bend, IN",6
"east lansing, MI",6
"Perryville, AR",6
"Great Meadows, NJ",6
"waltham, MA",6
"hurst, TX",6
"Jennings, LA",6
"Hoisington, KS",6
"auburn, CA",6
"Hillsdale, NJ",6
"Harrisburg, IL",6
"fairborn, OH",6
"Huntington Beach, AZ",6
"Allentown, OK",6
"maricopa, AZ",6
"Beebe, AR",6
"Highwood, IL",6
"Fort Payne, AL",6
"Holden, MO",6
"Carleton, MI",6
"Port Wentworth, GA",6
"Mine Hill, NJ",6
"McKinleyville, AZ",6
"North Fork, CA",6
"Clermont, DE",6
"Farmington, NH",6
"Florence, MS",6
"Westminster, AZ",6
"Effingham, SC",6
"Little River, CA",6
"Lake Alfred, FL",6
"Lafayette, KY",6
"Montello, WI",6
"Walker, MI",6
"Huntington beach, CA",6
"Kinderhook, NY",6
"Cement City, MI",6
"washington, WA",6
"Hawi, HI",6
"Mc Leansville, NC",6
"wallingford, CT",6
"Troy, NJ",6
"Englewood, CA",6
"Rootstown, OH",6
"Arcata, AZ",6
"Camden, NC",6
"joliet, IL",6
"Hammondsport, NY",6
"Dunstable, MA",6
"Clinton, MT",6
"kannapolis, NC",6
"shreveport, LA",6
"Paris, KY",6
"La Fayette, GA",6
"Soda Springs, CA",6
"Oak Hill, WV",6
"Atlantic Beach, NC",6
"Sharon, PA",6
"murray, UT",6
"Fort White, FL",6
"Euless, SD",6
"rio rancho, NM",6
"glastonbury, CT",6
"Evansville, ID",6
"Conover, NC",6
"Woodbury Heights, NJ",6
"Glenside, OR",6
"Brookhaven, MS",6
"Shandaken, NY",6
"Jordan, NY",6
"Wyndmoor, PA",6
"lincoln, CA",6
"Three Rivers, CA",6
"Church Hill, TN",6
"Llano, TX",6
"Malta, ID",6
"Amarillo, SD",6
"Eagle Pass, TX",6
"Chamberlain, SD",6
"Plattsburg, MO",6
"Stewartville, MN",6
"Sydney, CA",6
"Raiford, FL",6
"Palm Springs, FL",6
"rolla, MO",6
"Stanwood, IA",6
"Pennellville, NY",6
"Auburn, MI",6
"Winterset, IA",6
"myrtle beach, SC",6
"Siler City, NC",6
"Largo, MD",6
"Kettering, NV",6
"VIRGINIA BEACH, VA",6
"Mountain View, AR",6
"Allentown, OR",6
"Winona Lake, IN",6
"Killington, VT",6
"shelton, WA",6
"Porter, TX",6
"Wayne, NE",6
"Conestoga, PA",6
"Blackshear, GA",6
"Otis Orchards, WA",6
"Mobridge, SD",6
"Blowing Rock, NC",6
"Providence, KY",6
"Rockwell, NC",6
"bedford, TX",6
"Salt Point, NY",6
"Isle of Palms, SC",6
"lowell, MA",6
"South Richmond Hill, NY",6
"Jemez Springs, NM",6
"DeBary, FL",6
"Falling Waters, WV",6
"Hebron, IN",6
"Greenwood, MS",6
"emeryville, CA",6
"Villa Hills, KY",6
"spokane valley, WA",6
"Merlin, OR",6
"Rollinsford, NH",6
"ESCONDIDO, CA",6
"Escalante, UT",6
"Westfield, WI",6
"bangor, ME",6
"Robins, IA",6
"Pomfret, CT",6
"Lowell, AR",6
"Auburn, KY",6
"Maple Park, IL",6
"Rice, MN",6
"Pittstown, NJ",6
"Mineral Wells, WV",6
"DuPont, WA",6
"grand junction, CO",6
"North Versailles, PA",6
"Evans City, PA",6
"Stevenson, MD",6
"menifee, CA",6
"Medford, WI",6
"Miles City, MT",6
"East Norriton, PA",6
"Oklahoma city, OK",6
"Tamaqua, PA",6
"downers grove, IL",6
"Springfield, GA",6
"Manchester, ME",6
"North bergen, NJ",6
"Lansing, NY",6
"wappingers falls, NY",6
"York, ME",6
"glen burnie, MD",6
"Waverly, PA",6
"Minonk, IL",6
"hyattsville, MD",6
"Bryans Road, MD",6
"Follansbee, WV",6
"Newport News, TX",6
"State College, OK",6
"Pittsburg, TX",6
"Roslyn Heights, NY",6
"Millbrook, NY",6
"Newberry, SC",6
"Lafayette, NJ",6
"Little Falls, NY",6
"Carmel, ID",6
"Vidalia, GA",6
"talent, OR",6
"Alfred, NY",6
"ormond beach, FL",6
"Tollhouse, CA",6
"conway, AR",6
"Morrisonville, NY",6
"Scandia, MN",6
"Lemont, PA",6
"Sheffield, AL",6
"Lancaster, OK",6
"Freehold, NY",6
"Enosburg Falls, VT",6
"Glenwood, IA",6
"Seeley Lake, MT",6
"Quincy, CA",6
"Walker, MN",6
"Oak Harbor, OH",6
"Minnetonka, MI",6
"midvale, UT",6
"Sullivan, MO",5
"Boonville, CA",5
"moore, OK",5
"AURORA, CO",5
"Fredericktown, MO",5
"New Preston, CT",5
"Douglas, MI",5
"Maywood, IL",5
"redding, CA",5
"West Greenwich, RI",5
"Sierra Vista, AR",5
"Hull, GA",5
"mountlake terrace, WA",5
"Silver City, NE",5
"Talladega, AL",5
"VA Beach, VA",5
"Labelle, FL",5
"Mount Airy, GA",5
"Danville, VT",5
"beaumont, TX",5
"Park Ridge, ID",5
"Wilmington, DC",5
"N/A, CA",5
"Montvale, NJ",5
"Upton, WY",5
"Valencia, AZ",5
"Rainier, OR",5
"Averill Park, NY",5
"Scottsboro, AL",5
"Denison, SD",5
"LOVELAND, CO",5
"Trenton, NC",5
"Imperial, PA",5
"plant city, FL",5
"Yamhill, OR",5
"Middlefield, OH",5
"cedar falls, IA",5
"South Bend, ID",5
"South Bend, IL",5
"BREMERTON, WA",5
"Huachuca City, AZ",5
"Monticello, NY",5
"Cascade, MT",5
"astoria, NJ",5
"franklin square, NY",5
"westlake village, CA",5
"Frankfort, NY",5
"Schiller Park, IL",5
"Bel air, MD",5
"Perry, IA",5
"montgomery, IL",5
"Black Diamond, WA",5
"Winter garden, FL",5
"London, AK",5
"Garwood, NJ",5
"ASTORIA, NY",5
"carlisle, PA",5
"Talking Rock, GA",5
"Walpole, NH",5
"Chisholm, MN",5
"Mount Morris, IL",5
"Pittsboro, NM",5
"Frederic, WI",5
"Watertown, TN",5
"Churchton, MD",5
"Wapato, WA",5
"Blountville, TN",5
"Lawson, MO",5
"land o lakes, FL",5
"dunedin, FL",5
"Eastman, GA",5
"Wellington, DE",5
"Somerset, WI",5
"Lantana, TX",5
"Marlborough, MD",5
"boulder, CA",5
"Croton on Hudson, NY",5
"Hudson Falls, NY",5
"Turnersville, NJ",5
"Bonham, TX",5
"Reading, OK",5
"Ignacio, CO",5
"Blytheville, AR",5
"south pasadena, CA",5
"Suquamish, WA",5
"ferndale, MI",5
"Northfield, IL",5
"Laingsburg, MI",5
"Troy, TX",5
"Fowler, CA",5
"Angel Fire, NM",5
"Linthicum Heights, MD",5
"Archbold, OH",5
"Shady Side, MD",5
"Newcastle, WY",5
"Norfolk, NY",5
"Edwardsville, ID",5
"Amissville, VA",5
"North Wales, OR",5
"Gouldsboro, PA",5
"Monessen, PA",5
"New  York, NY",5
"Corvallis, MT",5
"Monterey, MA",5
"Ingleside, TX",5
"Montrose, NY",5
"Avila Beach, CA",5
"Foster, RI",5
"Valley Head, AL",5
"wewoka, OK",5
"rochester hills, MI",5
"Springbrook, WI",5
"lynn, MA",5
"West Newton, PA",5
"Holmes Beach, FL",5
"northport, NY",5
"Peoria, AR",5
"Staunton, IL",5
"Naches, WA",5
"Brandon, VT",5
"Scott AFB, IL",5
"Reedsburg, WI",5
"stone mountain, GA",5
"Haverstraw, NY",5
"Birchwood, WI",5
"covina, CA",5
"COLORADO SPRINGS, CO",5
"parker, CO",5
"Medinah, IL",5
"Clayton, GA",5
"Lake Waccamaw, NC",5
"Mountain Grove, MO",5
"Newbury, NH",5
"Versailles, MO",5
"pullman, WA",5
"Lake Butler, FL",5
"Bangor, MI",5
"Connelly Springs, NC",5
"clovis, CA",5
"Lanexa, VA",5
"New Carlisle, IN",5
"Byron, IL",5
"Los Alamos, NE",5
"Belgrade Lakes, ME",5
"Delmar, DE",5
"Williamston, SC",5
"Ixonia, WI",5
"Battlefield, MO",5
"Saluda, NC",5
"Woods Hole, MA",5
"middleton, WI",5
"New Whiteland, IN",5
"Colchester, IL",5
"New Berlin, NY",5
"Richmond Heights, MO",5
"Fulshear, TX",5
"hudson, FL",5
"Heflin, AL",5
"Spring Grove, PA",5
"Thatcher, AZ",5
"new brunswick, NJ",5
"North Scituate, RI",5
"bayonne, NJ",5
"De Soto, KS",5
"Rockford, MN",5
"Ozark, AR",5
"Pedricktown, NJ",5
"Cupertino, AZ",5
"saint cloud, MN",5
"Wenonah, NJ",5
"Brighton, MD",5
"Petersburg, AK",5
"maitland, FL",5
"Port Royal, SC",5
"Avalon, CA",5
"raleigh, NJ",5
"Bloomingburg, NY",5
"Auburn, PA",5
"Navasota, TX",5
"bolingbrook, IL",5
"Perkins, OK",5
"collegeville, PA",5
"Cold Brook, NY",5
"Tomball, SD",5
"west columbia, SC",5
"lehi, UT",5
"Pequot Lakes, MN",5
"Elmhurst, NJ",5
"Parker, AZ",5
"arlington, MA",5
"Wheatfield, IN",5
"Shillington, PA",5
"McCordsville, IN",5
"Midvale, TN",5
"Palacios, TX",5
"Elk Rapids, MI",5
"Ridgeley, WV",5
"Grand Bay, AL",5
"Helena, MS",5
"Helena, MO",5
"chelsea, MA",5
"Adkins, TX",5
"newnan, GA",5
"bay shore, NY",5
"Rochester, VT",5
"Alpine, SD",5
"Fairview, TX",5
"Fairview, TN",5
"Apple Valley, ME",5
"roseville, MN",5
"Magdalena, NM",5
"Mohave Valley, AZ",5
"Holland, ME",5
"Long Lake, MN",5
"Marengo, OH",5
"Anza, CA",5
"Nome, AK",5
"West Olive, MI",5
"Crestline, OH",5
"Genoa, NY",5
"GERMANTOWN, MD",5
"Verdugo City, CA",5
"Theodore, AL",5
"Pembina, ND",5
"Worcester, VT",5
"East Sandwich, MA",5
"MIami, FL",5
"Calumet, MI",5
"San Angelo, SD",5
"ann arbor, ME",5
"fitchburg, MA",5
"White Haven, PA",5
"Offutt AFB, NE",5
"Los Gatos, AZ",5
"Index, WA",5
"Delta Junction, AK",5
"Dublin, NY",5
"New Rochelle, NH",5
"Fife, WA",5
"Willseyville, NY",5
"West Chester, OK",5
"Huntingdon, TN",5
"White Pine, TN",5
"Eastover, SC",5
"Berne, NY",5
"Flower mound, TX",5
"Vandalia, IL",5
"Benton, IL",5
"New Richmond, WI",5
"Somers, CT",5
"hamilton, OH",5
"NORCROSS, GA",5
"Ashton, MD",5
"Corrales, NE",5
"Rolling Prairie, IN",5
"Odessa, SD",5
"wyoming, MI",5
"Bethel, OH",5
"Maysville, NC",5
"Plant City, DE",5
"North Haledon, NJ",5
"denham springs, LA",5
"Clear Brook, VA",5
"ft collins, CO",5
"doral, FL",5
"Lagrange, KY",5
"Pgh, PA",5
"Lahaska, PA",5
"SIOUX FALLS, SD",5
"Shoreview, MI",5
"Keego Harbor, MI",5
"Manchester, KY",5
"Moscow, IA",5
"Thermopolis, WY",5
"Lucasville, OH",5
"Point Richmond, CA",5
"Spirit Lake, IA",5
"Mt. Airy, MD",5
"North Grosvenordale, CT",5
"GILBERT, AZ",5
"Whitesburg, KY",5
"Rocky Point, NC",5
"Middletown, NV",5
"Greenville, IL",5
"Rock hill, SC",5
"East Montpelier, VT",5
"Claypool, IN",5
"Colora, MD",5
"Stillwater, NY",5
"Grand Junction, CA",5
"SIMI VALLEY, CA",5
"Otsego, MN",5
"Wahoo, NE",5
"Osceola, WI",5
"Mather, CA",5
"fall river, MA",5
"Dora, AL",5
"Medford, MD",5
"Antioch, SC",5
"Colmar, PA",5
"Nope, NC",5
"Conklin, NY",5
"Lakeview, AR",5
"MIDLOTHIAN, VA",5
"Clarkdale, AZ",5
"Destrehan, LA",5
"Forest Park, ID",5
"Mount Pleasant, PA",5
"Atglen, PA",5
"Kewaunee, WI",5
"Hawaiian Gardens, CA",5
"Arlington, MD",5
"Ossian, IN",5
"marysville, OH",5
"Shenandoah, VA",5
"Gardendale, AL",5
"South Charleston, WV",5
"Akron, PA",5
"Dahlonega, GA",5
"Laurence Harbor, NJ",5
"Superior, MT",5
"Cleveland Heights, NY",5
"Long Beach, NJ",5
"Mattawamkeag, ME",5
"deerfield beach, FL",5
"Laramie, WA",5
"Weiser, ID",5
"coconut creek, FL",5
"apex, NC",5
"Rotterdam, NY",5
"Andrews, SC",5
"Bartonsville, PA",5
"Pine Grove, PA",5
"Iron River, MI",5
"Richland Center, WI",5
"Yorktown, IN",5
"Chepachet, RI",5
"Richland Hills, TX",5
"Mcpherson, KS",5
"Bath, MI",5
"Auburn, NH",5
"Auburn, NE",5
"Hillsboro, MO",5
"Little Ferry, NJ",5
"Cordova, AK",5
"Cordova, AL",5
"Salem, NY",5
"ANCHORAGE, AK",5
"Key west, FL",5
"Palmyra, TX",5
"Harrisonburg, TX",5
"jackson, MS",5
"New Egypt, NJ",5
"fort pierce, FL",5
"Columbia, PA",5
"Tigard, OH",5
"Hyrum, UT",5
"Protem, MO",5
"Madison, MN",5
"Mount Vernon, MO",5
"Lake Park, FL",5
"Gleneden Beach, OR",5
"sf, CA",5
"Maize, KS",5
"Fort Gratiot, MI",5
"Alma, AR",5
"ROCKFORD, IL",5
"Ellis, KS",5
"Brazil, IN",5
"St Cloud, FL",5
"Grindstone, PA",5
"Wills Point, TX",5
"Pine, AZ",5
"Kenosha, VI",5
"Splendora, TX",5
"sugar land, TX",5
"Sedgwick, ME",5
"Lakeside Park, KY",5
"Midway City, CA",5
"thousand oaks, CA",5
"Grafton, ND",5
"douglasville, GA",5
"Ventnor City, NJ",5
"Edgewood, WA",5
"La Follette, TN",5
"Mt Prospect, IL",5
"Geismar, LA",5
"Hartford, KY",5
"troy, OH",5
"Zionsville, PA",5
"hilo, HI",5
"Quincy, WA",5
"Bath, PA",5
"Dyke, VA",5
"mankato, MN",5
"Mountain View, HI",5
"Rock Hill, PR",5
"Ammon, ID",5
"Plaquemine, LA",5
"lititz, PA",5
"Burson, CA",5
"Blue Mounds, WI",5
"Mill Valley, AZ",5
"Buhl, ID",5
"Sherman oaks, CA",5
"grand prairie, TX",5
"Fishers, ID",5
"Fombell, PA",5
"Mountainair, NM",5
"Burns, OR",5
"Lake Leelanau, MI",5
"Coppell, SD",5
"winter springs, FL",5
"Ottawa, OH",5
"Harwood, TX",5
"Kennesaw, FL",5
"mequon, WI",5
"Gap, PA",5
"Empire, MI",5
"berwyn, IL",5
"Edwardsville, KS",5
"Hankins, NY",5
"moorhead, MN",5
"Brookfield, MO",5
"Punxsutawney, PA",5
"Commerce Twp, MI",5
"Center Ossipee, NH",5
"Fortville, IN",5
"FORT COLLINS, CO",5
"Paso Robles, AZ",5
"travelers rest, SC",5
"Union, SC",5
"SAN LUIS OBISPO, CA",5
"Bradenton Beach, FL",5
"Lincoln, ME",5
"Chatham, VA",5
"Driftwood, TX",5
"ST LOUIS, MO",5
"mount laurel, NJ",5
"Morristown, AZ",5
"coppell, TX",5
"Springville, AL",5
"Burke, TX",5
"Brook Park, OH",5
"Terre Haute, ID",5
"kernersville, NC",5
"Brevard, NM",5
"owings mills, MD",5
"Garden Valley, CA",5
"Lake View Terrace, CA",5
"Ashville, AL",5
"auburn, WA",5
"holbrook, NY",5
"KENT, OH",5
"Schaumburg, IA",5
"Mount Tabor, NJ",5
"Christiansburg, TX",5
"Webberville, MI",5
"Macclenny, FL",5
"Essex, CT",5
"Willcox, AZ",5
"Crystal City, MO",5
"oak lawn, IL",5
"Lone Jack, MO",5
"Wauwatosa, VI",5
"Roslyn, PA",5
"Conneaut, OH",5
"Lindstrom, MN",5
"Eatonville, WA",5
"Nevada city, CA",5
"Summerland Key, FL",5
"encinitas, CA",5
"visalia, CA",5
"Mountain City, TN",5
"Richmond, ME",5
"ARLINGTON, TX",5
"Jefferson, TX",5
"Nebo, NC",5
"RENO, NV",5
"Kensington, CT",5
"Rushville, NY",5
"shrewsbury, MA",5
"Gaston, SC",5
"Burbank, WA",5
"cocoa beach, FL",5
"East Patchogue, NY",5
"Kingsburg, CA",5
"Cudahy, CA",5
"Spicer, MN",5
"Newville, PA",5
"Malden, MD",5
"Gloucester Point, VA",5
"East Petersburg, PA",5
"saratoga springs, NY",5
"calabasas, CA",5
"New Market, VA",5
"Farmington hills, MI",5
"WHITTIER, CA",5
"Newfane, NY",5
"Redwood Shores, CA",5
"Cooper, TX",5
"Limington, ME",5
"Canterbury, CT",5
"Greensburg, ID",5
"westminster, CA",5
"Campbell, TX",5
"Hernando, FL",5
"SAVANNAH, GA",5
"Jewett City, CT",5
"santa fe, NE",5
"ellensburg, WA",5
"Ridgeland, SC",5
"State Road, NC",5
"Dayton, MN",5
"Forest Falls, CA",5
"San Francisco,, CA",5
"peabody, MA",5
"Detroit Lakes, MN",5
"Ft. Myers, FL",5
"coral gables, FL",5
"Auburn, IL",5
"Portage, PA",5
"Boothbay Harbor, ME",5
"White Hall, IL",5
"Brown Deer, WI",5
"Delaware City, DE",5
"Hamilton Township, NJ",5
"Bloomingdale, MI",5
"Landrum, SC",5
"cape girardeau, MO",5
"Royal Oaks, CA",5
"salisbury, MD",5
"Gray, LA",5
"riverview, FL",5
"Silver Lake, OH",5
"North St. Paul, MN",5
"Strasburg, PA",5
"San Franciso, CA",5
"Little Compton, RI",5
"East Bridgewater, MA",5
"Gray, GA",5
"Sharpsburg, MD",5
"Whitehall, OH",5
"Bainbridge island, WA",5
"Lakewood, NV",5
"Nashua, MT",5
"Scottsville, VA",5
"Hilmar, CA",5
"Gill, MA",5
"encino, CA",5
"cheektowaga, NY",5
"Calhoun, LA",5
"HAWORTH, NJ",5
"Monticello, IA",5
"Candor, NY",5
"Pocahontas, AR",5
"Barnesville, MN",5
"lomita, CA",5
"Long Island City, NJ",5
"Decatur, TX",5
"janesville, WI",5
"West Townsend, MA",5
"North Berwick, ME",5
"White Oak, PA",5
"Waynesville, NM",5
"Crystal lake, IL",5
"Hayden, AL",5
"SPRING, TX",5
"Cherry hill, NJ",5
"Eleva, WI",5
"Elmira, NJ",5
"N Las Vegas, NV",5
"Florence, NJ",5
"Duffield, VA",5
"Crowell, TX",5
"Alabama, AL",5
"Bloomington, ME",5
"Coto de Caza, CA",5
"Watertown, MN",5
"Bangor, LA",5
"Gallatin Gateway, MT",5
"Rayne, LA",5
"Kents Store, VA",5
"New Virginia, IA",5
"Norton, KS",5
"Mechanicsburg, OR",5
"Lathrup Village, MI",5
"louisville, CO",5
"Brookings, OK",5
"Sandston, VA",5
"Aberdeen, NC",5
